Regiao,UF,Qtd Postos Pesquisados,Data Inicial,Data Final,Valor Minimo,Valor Maximo,Valor Medio
CENTRO-OESTE,MS,4114,2007-01-02,2007-06-27,2.35,2.97,2.7303393291200777
CENTRO-OESTE,MT,5362,2007-01-02,2007-06-28,2.71,3.26,2.946611152555017
NORDESTE,AL,3752,2007-01-02,2007-06-27,2.34,2.895,2.8002726545842216
NORDESTE,BA,14043,2007-01-02,2007-06-27,2.29,2.999,2.6670017090365308
NORDESTE,CE,7337,2007-01-02,2007-06-28,2.38,2.98,2.6818596156467223
NORDESTE,MA,4610,2007-01-02,2007-06-28,2.45,2.99,2.739156616052061
NORDESTE,PB,4471,2007-01-02,2007-06-27,2.26,2.75,2.6084025944978753
NORDESTE,PE,11483,2007-01-02,2007-06-28,2.18,2.89,2.624433858747714
NORDESTE,PI,3452,2007-01-02,2007-06-27,2.19,2.8,2.548754345307068
NORDESTE,RN,4273,2007-01-02,2007-06-27,2.15,2.78,2.5724020594430144
NORDESTE,SE,2142,2007-01-02,2007-06-28,2.4,2.78,2.5374626517273575
NORTE,AC,1536,2007-01-02,2007-06-27,2.83,3.3,2.9888157552083334
NORTE,AM,4703,2007-01-02,2007-06-27,2.12,3.1,2.543040399744844
NORTE,AP,1178,2007-01-02,2007-06-26,2.17,3.15,2.579827674023769
NORTE,PA,5874,2007-01-02,2007-06-28,2.269,3.31,2.691263874702077
NORTE,RO,3265,2007-01-02,2007-06-27,2.29,3.23,2.7320088820826953
NORTE,RR,1398,2007-01-02,2007-06-27,2.25,2.99,2.7125507868383405
NORTE,TO,1741,2007-01-03,2007-06-27,2.45,2.95,2.728603676048248
SUDESTE,ES,7332,2007-01-02,2007-06-27,2.289,2.89,2.6778476541189304
SUDESTE,MG,34819,2007-01-02,2007-06-28,1.96,2.92,2.5209388265027717
SUDESTE,RJ,28312,2007-01-02,2007-06-28,2.15,3.119,2.5718246326645944
SUDESTE,SP,91206,2007-01-02,2007-06-28,2.119,2.899,2.452806273710063
SUL,PR,21486,2007-01-02,2007-06-27,2.049,2.85,2.4617511868193245
SUL,RS,23334,2007-01-02,2007-06-28,2.17,2.999,2.6261504242735922
SUL,SC,14279,2007-01-02,2007-06-28,2.119,2.99,2.570687723229918
CENTRO-OESTE,DF,2294,2007-07-02,2007-12-31,2.459,2.679,2.5881181342632957
CENTRO-OESTE,GO,7056,2007-07-02,2007-12-31,2.09,2.799,2.5325415249433108
CENTRO-OESTE,MS,3732,2007-07-02,2007-12-31,2.444,2.999,2.7329091639871383
CENTRO-OESTE,MT,4165,2007-07-02,2007-12-31,2.39,3.23,2.874110444177671
NORDESTE,AL,2958,2007-07-02,2007-12-31,2.51,2.89,2.781615956727519
NORDESTE,BA,11904,2007-07-02,2007-12-31,2.09,2.998,2.611688256048387
NORDESTE,CE,6238,2007-07-02,2007-12-31,2.14,2.93,2.654440846425136
NORDESTE,MA,4048,2007-07-02,2007-12-31,2.499,2.99,2.721133893280632
NORDESTE,PB,3768,2007-07-02,2007-12-31,2.15,2.699,2.452245753715499
NORDESTE,PE,9493,2007-07-02,2007-12-31,2.17,2.89,2.5875022648267145
NORDESTE,PI,2881,2007-07-02,2007-12-31,2.32,2.76,2.6236070808746965
NORDESTE,RN,3423,2007-07-02,2007-12-31,2.14,2.699,2.526143149284253
NORDESTE,SE,1714,2007-07-02,2007-12-31,2.39,2.75,2.5329614935822637
NORTE,AC,1363,2007-07-02,2007-12-31,2.75,3.33,2.9885619955979457
NORTE,AM,3537,2007-07-02,2007-12-31,2.12,3.1,2.512356234096692
NORTE,AP,906,2007-07-02,2007-12-31,2.07,3.15,2.424398454746137
